agency_id	user_id	date	amount
3	1000000	2006-08-19	2.84
6	1000001	2006-08-04	8.64
4	1000002	2006-05-22	4.50
3	1000003	2006-08-25	8.90
5	1000004	2006-06-16	7.41
3	1000005	2006-07-28	2.44
5	1000006	2006-07-16	15.40
5	1000007	2006-08-20	14.23
6	1000008	2006-07-05	1.99
5	1000009	2006-07-17	5.13
3	1000010	2006-06-29	1.71
2	1000011	2006-07-29	15.74
4	1000012	2006-08-30	11.94
5	1000013	2006-08-25	3.40
6	1000014	2006-05-16	15.98
2	1000015	2006-11-09	7.61
2	1000016	2006-10-02	14.32
2	1000017	2006-11-01	12.69
2	1000018	2006-09-14	15.10
5	1000019	2006-10-13	4.36
5	1000020	2006-10-28	14.80
6	1000021	2006-08-07	6.50
6	1000022	2006-11-03	8.59
5	1000023	2006-09-17	4.80
2	1000024	2006-10-14	1.80
6	1000025	2006-07-04	4.23
4	1000026	2006-10-08	1.42
2	1000027	2006-06-30	5.93
4	1000028	2006-07-26	14.45
2	1000029	2006-06-14	11.82
3	1000030	2006-06-19	10.29
6	1000031	2006-06-26	15.94
2	1000032	2006-09-05	6.96
6	1000033	2006-11-05	10.20
2	1000034	2006-08-15	15.94
2	1000035	2006-07-08	4.05
2	1000036	2006-08-12	6.87
6	1000037	2006-10-17	9.76
3	1000038	2006-08-31	12.58
3	1000039	2006-08-04	6.74
6	1000040	2006-08-23	7.26
2	1000041	2006-07-02	11.08
5	1000042	2006-09-23	13.70
5	1000043	2006-09-20	6.63
5	1000044	2006-08-14	14.85
2	1000045	2006-09-19	1.93
4	1000046	2006-07-28	5.69
2	1000047	2006-06-26	4.77
5	1000048	2006-10-14	1.16
5	1000049	2006-06-04	11.97
6	1000050	2006-10-10	5.16
2	1000051	2006-05-30	7.95
3	1000052	2006-07-08	8.19
5	1000053	2006-07-07	5.84
5	1000054	2006-07-04	9.12
6	1000055	2006-10-07	9.04
2	1000056	2006-11-02	7.28
5	1000057	2006-05-30	4.18
4	1000058	2006-09-14	7.60
3	1000059	2006-07-04	14.45
4	1000060	2006-09-21	4.55
4	1000061	2006-06-30	4.98
6	1000062	2006-08-15	3.99
6	1000063	2006-07-23	15.96
6	1000064	2006-07-27	13.78
4	1000065	2006-10-26	12.61
6	1000066	2006-06-20	1.97
5	1000067	2006-05-31	2.52
5	1000068	2006-08-29	3.63
3	1000069	2006-05-26	7.65
6	1000070	2006-06-09	10.58
5	1000071	2006-08-03	7.45
3	1000072	2006-11-01	14.50
4	1000073	2006-10-16	11.37
4	1000074	2006-10-12	6.30
5	1000075	2006-07-21	10.41
3	1000076	2006-07-14	7.78
2	1000077	2006-07-02	7.31
6	1000078	2006-08-09	13.08
5	1000079	2006-08-31	15.35
5	1000080	2006-10-31	7.85
2	1000081	2006-09-04	8.94
4	1000082	2006-10-06	11.29
3	1000083	2006-09-03	8.60
4	1000084	2006-08-27	14.07
5	1000085	2006-06-20	14.49
2	1000086	2006-09-12	13.04
6	1000087	2006-08-04	1.72
2	1000088	2006-05-29	8.46
5	1000089	2006-10-31	3.35
4	1000090	2006-10-06	1.85
3	1000091	2006-08-29	9.70
4	1000092	2006-09-03	12.40
5	1000093	2006-05-28	14.85
6	1000094	2006-08-27	3.25
3	1000095	2006-09-25	15.90
3	1000096	2006-09-13	9.65
5	1000097	2006-08-26	7.05
2	1000098	2006-09-03	4.56
4	1000099	2006-09-15	9.21
4	1000100	2006-08-17	15.29
5	1000101	2006-10-13	5.67
3	1000102	2006-11-07	14.76
6	1000103	2006-08-15	12.33
4	1000104	2006-05-20	8.17
3	1000105	2006-09-10	5.53
6	1000106	2006-05-25	15.45
3	1000107	2006-06-08	2.74
4	1000108	2006-06-07	8.41
3	1000109	2006-08-04	2.99
4	1000110	2006-09-20	11.63
6	1000111	2006-10-26	7.35
2	1000112	2006-07-15	14.58
4	1000113	2006-08-18	13.29
5	1000114	2006-06-14	15.33
6	1000115	2006-07-15	13.53
2	1000116	2006-08-24	1.26
6	1000117	2006-07-07	9.35
4	1000118	2006-10-10	15.45
2	1000119	2006-10-02	14.11
3	1000120	2006-09-20	10.18
4	1000121	2006-10-01	5.51
3	1000122	2006-07-08	6.23
5	1000123	2006-07-07	1.02
6	1000124	2006-09-30	9.77
2	1000125	2006-07-15	12.66
5	1000126	2006-07-21	5.03
2	1000127	2006-07-02	11.67
3	1000128	2006-07-11	12.38
3	1000129	2006-06-13	8.55
3	1000130	2006-06-04	1.45
3	1000131	2006-06-01	7.55
5	1000132	2006-05-27	1.94
4	1000133	2006-07-01	14.51
3	1000134	2006-08-19	5.95
3	1000135	2006-05-29	3.15
3	1000136	2006-06-20	11.98
5	1000137	2006-06-19	2.42
2	1000138	2006-05-18	9.76
4	1000139	2006-07-13	14.77
5	1000140	2006-05-23	14.18
5	1000141	2006-06-25	12.24
4	1000142	2006-07-13	14.50
6	1000143	2006-07-07	2.62
2	1000144	2006-11-03	15.84
3	1000145	2006-08-15	13.75
2	1000146	2006-09-25	15.03
3	1000147	2006-07-14	10.40
6	1000148	2006-10-22	4.47
3	1000149	2006-05-29	7.30
5	1000150	2006-10-27	6.01
4	1000151	2006-05-22	11.91
4	1000152	2006-06-19	14.20
4	1000153	2006-05-28	7.75
4	1000154	2006-06-08	6.74
2	1000155	2006-05-17	3.67
5	1000156	2006-10-17	8.81
2	1000157	2006-10-11	3.44
2	1000158	2006-11-02	9.47
3	1000159	2006-09-04	1.18
5	1000160	2006-10-23	10.80
5	1000161	2006-05-18	13.38
6	1000162	2006-06-19	9.58
6	1000163	2006-07-02	9.23
4	1000164	2006-09-24	15.29
2	1000165	2006-05-19	12.05
6	1000166	2006-10-27	2.30
4	1000167	2006-08-01	11.40
4	1000168	2006-09-23	3.89
4	1000169	2006-07-29	6.63
2	1000170	2006-08-14	15.75
4	1000171	2006-10-14	10.08
6	1000172	2006-10-28	14.17
2	1000173	2006-05-28	13.34
4	1000174	2006-10-04	2.22
2	1000175	2006-10-21	2.52
5	1000176	2006-09-28	4.24
4	1000177	2006-09-04	2.38
5	1000178	2006-06-04	12.91
5	1000179	2006-10-06	14.22
2	1000180	2006-08-15	9.62
3	1000181	2006-05-27	5.79
2	1000182	2006-08-12	2.08
5	1000183	2006-09-26	2.85
4	1000184	2006-08-07	15.01
2	1000185	2006-10-23	11.51
2	1000186	2006-09-20	7.99
2	1000187	2006-09-03	13.35
6	1000188	2006-08-11	11.69
6	1000189	2006-08-13	8.39
3	1000190	2006-10-20	8.02
5	1000191	2006-06-17	8.99
4	1000192	2006-08-21	5.83
3	1000193	2006-10-28	5.82
4	1000194	2006-10-14	2.67
6	1000195	2006-07-29	13.98
6	1000196	2006-07-28	13.32
3	1000197	2006-08-15	14.05
3	1000198	2006-05-28	1.82
3	1000199	2006-10-04	5.17
3	1000200	2006-09-18	5.80
3	1000201	2006-07-24	14.75
2	1000202	2006-07-04	10.24
2	1000203	2006-10-04	7.43
6	1000204	2006-05-31	9.57
5	1000205	2006-09-01	9.83
6	1000206	2006-10-05	14.32
3	1000207	2006-06-23	12.12
2	1000208	2006-09-21	7.02
5	1000209	2006-07-25	14.26
6	1000210	2006-08-09	10.70
3	1000211	2006-10-22	5.57
4	1000212	2006-05-29	11.01
2	1000213	2006-08-10	9.23
3	1000214	2006-08-12	3.92
4	1000215	2006-10-08	8.35
2	1000216	2006-10-25	1.58
5	1000217	2006-08-07	9.71
2	1000218	2006-07-31	1.58
6	1000219	2006-11-05	12.66
4	1000220	2006-08-10	10.12
4	1000221	2006-09-24	3.85
2	1000222	2006-08-06	11.66
2	1000223	2006-05-22	10.69
4	1000224	2006-09-03	10.69
6	1000225	2006-06-17	6.52
2	1000226	2006-08-02	10.52
4	1000227	2006-08-06	6.84
3	1000228	2006-05-30	8.08
3	1000229	2006-06-19	1.91
4	1000230	2006-07-10	8.27
3	1000231	2006-08-22	11.30
6	1000232	2006-08-05	10.41
4	1000233	2006-10-23	14.04
4	1000234	2006-10-31	7.68
4	1000235	2006-07-22	6.56
2	1000236	2006-10-17	5.47
5	1000237	2006-08-26	8.65
3	1000238	2006-07-09	7.32
6	1000239	2006-05-21	5.38
6	1000240	2006-10-13	2.95
4	1000241	2006-11-03	10.35
2	1000242	2006-06-27	1.62
2	1000243	2006-10-12	7.69
3	1000244	2006-09-06	7.84
